Label,NodeID,Value,Timestamp,packet_size
1,s4_f3,0,13977,128
1,s1_h4,0,13977,128
1,s2_h4,0,13977,128
1,s3_h4,0,13977,128
1,s4_h4,0,13977,128
1,s1_f4,0,13977,128
1,s2_f4,0,13977,128
1,s3_f4,0,13977,128
1,s4_f4,0,13977,128
1,s1_h5,0,13977,128
1,s2_h5,0,13977,128
1,s3_h5,0,13977,128
1,s4_h5,0,13977,128
1,s1_f5,0,13977,128
1,s2_f5,0,13977,128
1,s3_f5,0,13977,128
1,s4_f5,0,13977,128
1,s1_h1,96,13978,128
1,s2_h1,97,13978,128
0,s3_h1,15,13978,128
1,s4_h1,96,13978,128
0,s1_f1,89,13978,128
1,s2_f1,0,13978,128
1,s3_f1,0,13978,128
1,s4_f1,0,13978,128
1,s1_h2,0,13978,128
1,s2_h2,0,13978,128
1,s3_h2,0,13978,128
1,s4_h2,0,13978,128
0,s1_f2,89,13978,128
1,s2_f2,0,13978,128
1,s3_f2,0,13978,128
1,s4_f2,0,13978,128
1,s2_h3,0,13978,128
1,s3_h3,0,13978,128
1,s4_h3,0,13978,128
1,s1_f3,0,13978,128
1,s2_f3,0,13978,128
1,s3_f3,0,13978,128
1,s4_f3,0,13978,128
1,s1_h4,0,13978,128
1,s2_h4,0,13978,128
1,s3_h4,0,13978,128
1,s4_h4,0,13978,128
1,s1_f4,0,13978,128
1,s2_f4,0,13978,128
1,s3_f4,0,13978,128
1,s4_f4,0,13978,128
1,s1_h5,0,13978,128
1,s2_h5,0,13978,128
1,s3_h5,0,13978,128
1,s4_h5,0,13978,128
1,s1_f5,0,13978,128
1,s2_f5,0,13978,128
1,s3_f5,0,13978,128
1,s4_f5,0,13978,128
1,s1_h3,0,13978,128
1,s1_h1,96,13979,128
1,s2_h1,97,13979,128
0,s3_h1,6,13979,128
1,s4_h1,96,13979,128
0,s1_f1,95,13979,128
1,s2_f1,0,13979,128
1,s3_f1,0,13979,128
1,s4_f1,0,13979,128
1,s1_h2,0,13979,128
1,s2_h2,0,13979,128
1,s3_h2,0,13979,128
1,s4_h2,0,13979,128
0,s1_f2,99,13979,128
1,s2_f2,0,13979,128
1,s3_f2,0,13979,128
1,s4_f2,0,13979,128
1,s2_h3,0,13979,128
1,s3_h3,0,13979,128
1,s4_h3,0,13979,128
1,s1_f3,0,13979,128
1,s2_f3,0,13979,128
1,s3_f3,0,13979,128
1,s4_f3,0,13979,128
1,s1_h4,0,13979,128
1,s2_h4,0,13979,128
1,s3_h4,0,13979,128
1,s4_h4,0,13979,128
1,s1_f4,0,13979,128
1,s2_f4,0,13979,128
1,s3_f4,0,13979,128
1,s4_f4,0,13979,128
1,s1_h5,0,13979,128
1,s2_h5,0,13979,128
1,s3_h5,0,13979,128
1,s4_h5,0,13979,128
1,s1_f5,0,13979,128
1,s2_f5,0,13979,128
1,s3_f5,0,13979,128
1,s4_f5,0,13979,128
1,s1_h3,0,13979,128
1,s1_h1,96,13980,128
1,s2_h1,97,13980,128
1,s3_h1,96,13980,128
0,s4_h1,10,13980,128
0,s1_f1,93,13980,128
1,s2_f1,0,13980,128
1,s3_f1,0,13980,128
1,s4_f1,0,13980,128
0,s1_h2,94,13980,128
1,s2_h2,0,13980,128
1,s3_h2,0,13980,128
1,s4_h2,0,13980,128
1,s1_f2,0,13980,128
1,s2_f2,0,13980,128
1,s3_f2,0,13980,128
1,s4_f2,0,13980,128
0,s1_h3,90,13980,128
1,s2_h3,0,13980,128
1,s3_h3,0,13980,128
1,s4_h3,0,13980,128
1,s1_f3,0,13980,128
1,s2_f3,0,13980,128
1,s3_f3,0,13980,128
1,s4_f3,0,13980,128
1,s1_h4,0,13980,128
1,s2_h4,0,13980,128
1,s3_h4,0,13980,128
1,s4_h4,0,13980,128
1,s2_f4,0,13980,128
1,s3_f4,0,13980,128
1,s4_f4,0,13980,128
0,s1_h5,90,13980,128
1,s2_h5,0,13980,128
1,s3_h5,0,13980,128
1,s4_h5,0,13980,128
1,s1_f5,0,13980,128
1,s2_f5,0,13980,128
1,s3_f5,0,13980,128
1,s4_f5,0,13980,128
1,s1_h1,96,13981,128
1,s2_h1,97,13981,128
1,s3_h1,96,13981,128
0,s4_h1,12,13981,128
0,s1_f1,97,13981,128
1,s2_f1,0,13981,128
1,s3_f1,0,13981,128
1,s4_f1,0,13981,128
0,s1_h2,94,13981,128
1,s2_h2,0,13981,128
1,s3_h2,0,13981,128
1,s4_h2,0,13981,128
1,s1_f2,0,13981,128
1,s2_f2,0,13981,128
1,s3_f2,0,13981,128
1,s4_f2,0,13981,128
0,s1_h3,98,13981,128
1,s2_h3,0,13981,128
1,s3_h3,0,13981,128
1,s4_h3,0,13981,128
1,s1_f3,0,13981,128
1,s2_f3,0,13981,128
1,s3_f3,0,13981,128
1,s4_f3,0,13981,128
1,s1_h4,0,13981,128
1,s2_h4,0,13981,128
1,s3_h4,0,13981,128
1,s4_h4,0,13981,128
1,s2_f4,0,13981,128
1,s3_f4,0,13981,128
1,s4_f4,0,13981,128
0,s1_h5,88,13981,128
1,s2_h5,0,13981,128
1,s3_h5,0,13981,128
1,s4_h5,0,13981,128
1,s1_f5,0,13981,128
1,s2_f5,0,13981,128
1,s3_f5,0,13981,128
1,s4_f5,0,13981,128
1,s1_h1,96,13982,128
1,s2_h1,97,13982,128
1,s3_h1,96,13982,128
0,s4_h1,5,13982,128
0,s1_f1,81,13982,128
1,s2_f1,0,13982,128
1,s3_f1,0,13982,128
1,s4_f1,0,13982,128
0,s1_h2,82,13982,128
1,s2_h2,0,13982,128
1,s3_h2,0,13982,128
1,s4_h2,0,13982,128
1,s1_f2,0,13982,128
1,s2_f2,0,13982,128
1,s3_f2,0,13982,128
1,s4_f2,0,13982,128
0,s1_h3,89,13982,128
1,s2_h3,0,13982,128
1,s3_h3,0,13982,128
1,s4_h3,0,13982,128
1,s1_f3,0,13982,128
1,s2_f3,0,13982,128
1,s3_f3,0,13982,128
1,s4_f3,0,13982,128
1,s1_h4,0,13982,128
1,s2_h4,0,13982,128
1,s3_h4,0,13982,128
1,s4_h4,0,13982,128
1,s2_f4,0,13982,128
1,s3_f4,0,13982,128
1,s4_f4,0,13982,128
0,s1_h5,84,13982,128
1,s2_h5,0,13982,128
1,s3_h5,0,13982,128
1,s4_h5,0,13982,128
1,s1_f5,0,13982,128
1,s2_f5,0,13982,128
1,s3_f5,0,13982,128
1,s4_f5,0,13982,128
1,s1_h1,96,13983,128
1,s2_h1,97,13983,128
1,s3_h1,96,13983,128
0,s4_h1,1,13983,128
0,s1_f1,99,13983,128
1,s2_f1,0,13983,128
1,s3_f1,0,13983,128
1,s4_f1,0,13983,128
0,s1_h2,91,13983,128
1,s2_h2,0,13983,128
1,s3_h2,0,13983,128
1,s4_h2,0,13983,128
1,s1_f2,0,13983,128
1,s2_f2,0,13983,128
1,s3_f2,0,13983,128
1,s4_f2,0,13983,128
0,s1_h3,94,13983,128
1,s2_h3,0,13983,128
1,s3_h3,0,13983,128
1,s4_h3,0,13983,128
1,s1_f3,0,13983,128
1,s2_f3,0,13983,128
1,s3_f3,0,13983,128
1,s4_f3,0,13983,128
1,s1_h4,0,13983,128
1,s2_h4,0,13983,128
1,s3_h4,0,13983,128
1,s4_h4,0,13983,128
1,s2_f4,0,13983,128
1,s3_f4,0,13983,128
1,s4_f4,0,13983,128
0,s1_h5,80,13983,128
1,s2_h5,0,13983,128
1,s3_h5,0,13983,128
1,s4_h5,0,13983,128
1,s1_f5,0,13983,128
1,s2_f5,0,13983,128
1,s3_f5,0,13983,128
1,s4_f5,0,13983,128
1,s1_h1,96,13984,128
1,s2_h1,97,13984,128
1,s3_h1,96,13984,128
0,s4_h1,17,13984,128
0,s1_f1,82,13984,128
1,s2_f1,0,13984,128
1,s3_f1,0,13984,128
1,s4_f1,0,13984,128
0,s1_h2,85,13984,128
1,s2_h2,0,13984,128
1,s3_h2,0,13984,128
1,s4_h2,0,13984,128
1,s1_f2,0,13984,128
1,s2_f2,0,13984,128
1,s3_f2,0,13984,128
1,s4_f2,0,13984,128
0,s1_h3,80,13984,128
1,s2_h3,0,13984,128
1,s3_h3,0,13984,128
1,s4_h3,0,13984,128
1,s1_f3,0,13984,128
1,s2_f3,0,13984,128
1,s3_f3,0,13984,128
1,s4_f3,0,13984,128
1,s1_h4,0,13984,128
1,s2_h4,0,13984,128
1,s3_h4,0,13984,128
1,s4_h4,0,13984,128
1,s2_f4,0,13984,128
1,s3_f4,0,13984,128
1,s4_f4,0,13984,128
1,s2_h5,0,13984,128
1,s3_h5,0,13984,128
1,s4_h5,0,13984,128
1,s1_f5,0,13984,128
1,s2_f5,0,13984,128
1,s3_f5,0,13984,128
1,s4_f5,0,13984,128
1,s1_h5,0,13984,128
1,s1_h1,96,13985,128
1,s2_h1,97,13985,128
1,s3_h1,96,13985,128
0,s4_h1,5,13985,128
0,s1_f1,85,13985,128
1,s2_f1,0,13985,128
1,s3_f1,0,13985,128
1,s4_f1,0,13985,128
0,s1_h2,88,13985,128
1,s2_h2,0,13985,128
1,s3_h2,0,13985,128
1,s4_h2,0,13985,128
1,s1_f2,0,13985,128
1,s2_f2,0,13985,128
1,s3_f2,0,13985,128
1,s4_f2,0,13985,128
0,s1_h3,83,13985,128
1,s2_h3,0,13985,128
1,s3_h3,0,13985,128
1,s4_h3,0,13985,128
1,s1_f3,0,13985,128
1,s2_f3,0,13985,128
1,s3_f3,0,13985,128
1,s4_f3,0,13985,128
1,s1_h4,0,13985,128
1,s2_h4,0,13985,128
1,s3_h4,0,13985,128
1,s4_h4,0,13985,128
