NodeID,Timestamp,Value
s2_f4,8960,1
s3_f4,8960,1
s4_f4,8960,1
s1_h5,8960,2
s2_h5,8960,2
s3_h5,8960,2
s4_h5,8960,2
s1_f5,8960,1
s2_f5,8960,1
s3_f5,8960,1
s4_f5,8960,1
s1_h1,9100,62
s2_h1,9100,63
s3_h1,9100,62
s4_h1,9100,62
s1_f1,9100,1
s2_f1,9100,1
s3_f1,9100,1
s4_f1,9100,1
s1_h2,9100,1
s2_h2,9100,1
s3_h2,9100,1
s4_h2,9100,1
s1_f2,9100,1
s2_f2,9100,1
s3_f2,9100,1
s4_f2,9100,1
s1_h3,9100,1
s2_h3,9100,1
s3_h3,9100,1
s4_h3,9100,1
s1_f3,9100,1
s2_f3,9100,1
s3_f3,9100,1
s4_f3,9100,1
s1_h4,9100,1
s2_h4,9100,1
s3_h4,9100,1
s4_h4,9100,1
s1_f4,9100,1
s2_f4,9100,1
s3_f4,9100,1
s4_f4,9100,1
s1_h5,9100,1
s2_h5,9100,1
s3_h5,9100,1
s4_h5,9100,1
s1_f5,9100,1
s2_f5,9100,1
s3_f5,9100,1
s4_f5,9100,1
s1_h1,9240,63
s2_h1,9240,64
s3_h1,9240,63
s4_h1,9240,63
s1_f1,9240,1
s2_f1,9240,1
s3_f1,9240,1
s4_f1,9240,1
s1_h2,9240,1
s2_h2,9240,1
s3_h2,9240,1
s4_h2,9240,1
s1_f2,9240,1
s2_f2,9240,1
s3_f2,9240,1
s4_f2,9240,1
s1_h3,9240,1
s2_h3,9240,1
s3_h3,9240,1
s4_h3,9240,1
s1_f3,9240,1
s2_f3,9240,1
s3_f3,9240,1
s4_f3,9240,1
s1_h4,9240,1
s2_h4,9240,1
s3_h4,9240,1
s4_h4,9240,1
s1_f4,9240,1
s2_f4,9240,1
s3_f4,9240,1
s4_f4,9240,1
s1_h5,9240,1
s2_h5,9240,1
s3_h5,9240,1
s4_h5,9240,1
s1_f5,9240,1
s2_f5,9240,1
s3_f5,9240,1
s4_f5,9240,1
s1_h1,9380,64
s2_h1,9380,65
s3_h1,9380,64
s4_h1,9380,64
s1_f1,9380,1
s2_f1,9380,1
s3_f1,9380,1
s4_f1,9380,1
s1_h2,9380,1
s2_h2,9380,1
s3_h2,9380,1
s4_h2,9380,1
s1_f2,9380,1
s2_f2,9380,1
s3_f2,9380,1
s4_f2,9380,1
s1_h3,9380,1
s2_h3,9380,1
s3_h3,9380,1
s4_h3,9380,1
